abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
CTT ATC MOLINS DE REI,EL CENTRE,A,11275,FIGUERAS Santiago,0,Y,5430,OLIVES Miguel Anton,3
CTT ATC MOLINS DE REI,EL CENTRE,B,13320,ROS Marcel,2,X,5759,BADIA Albert,3
CTT ATC MOLINS DE REI,EL CENTRE,C,11276,MESTRE Manuel,3,Z,5620,MENDOZA Alejandro,2
CTT ATC MOLINS DE REI,EL CENTRE,A,11275,FIGUERAS Santiago,2,X,5759,BADIA Albert,3
CTT ATC MOLINS DE REI,EL CENTRE,C,11276,MESTRE Manuel,0,Y,5430,OLIVES Miguel Anton,3
CTT ATC MOLINS DE REI,EL CENTRE,B,13320,ROS Marcel,3,Z,5620,MENDOZA Alejandro,1
"CTT L'HOSPITALET GRUPO PREVING ""B""",CTT RIPOLLET,A,6027,HERRERO Josep,2,Y,8668,BARCELO Manuel,3
"CTT L'HOSPITALET GRUPO PREVING ""B""",CTT RIPOLLET,B,8813,MURILLO Fernando,3,X,6482,OLTENAS Viorel,0
"CTT L'HOSPITALET GRUPO PREVING ""B""",CTT RIPOLLET,C,14032,MAKHARASHVILI Irakli,3,Z,6783,VILARDELL Alfredo,0
"CTT L'HOSPITALET GRUPO PREVING ""B""",CTT RIPOLLET,A,6027,HERRERO Josep,3,X,6482,OLTENAS Viorel,0
"CTT L'HOSPITALET GRUPO PREVING ""B""",CTT RIPOLLET,C,14032,MAKHARASHVILI Irakli,3,Y,8668,BARCELO Manuel,1
"CTT L'HOSPITALET GRUPO PREVING ""B""",CTT RIPOLLET,B,8813,MURILLO Fernando,3,Z,6783,VILARDELL Alfredo,1
CLUB NATACIO SABADELL,CTT ATENEU 1882,A,11746,YANG Owen,3,Y,5897,INFANTE Enric,1
CLUB NATACIO SABADELL,CTT ATENEU 1882,B,12249,PUJOL Josep,0,X,12219,ROMO Miquel,3
CLUB NATACIO SABADELL,CTT ATENEU 1882,C,11167,RUIZ Jordi,1,Z,8430,MARTINEZ Ivan,3
CLUB NATACIO SABADELL,CTT ATENEU 1882,A,11746,YANG Owen,3,X,12219,ROMO Miquel,1
CLUB NATACIO SABADELL,CTT ATENEU 1882,C,11167,RUIZ Jordi,3,Y,5897,INFANTE Enric,2
CLUB NATACIO SABADELL,CTT ATENEU 1882,B,12249,PUJOL Josep,0,Z,8430,MARTINEZ Ivan,3
