abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
CTT CARDEDEU EIG,EL CENTRE ''A'',A,200,LUCEA Javier,1,Y,651,CARBONELL Daniel,3
CTT CARDEDEU EIG,EL CENTRE ''A'',B,242,AZCON Joaquin,0,X,395,EXPOSITO Juan Antonio,3
CTT CARDEDEU EIG,EL CENTRE ''A'',C,11724,RODRIGUEZ Xavier,3,Z,292,CHACON Alejandro,1
CTT CARDEDEU EIG,EL CENTRE ''A'',A,200,LUCEA Javier,0,X,395,EXPOSITO Juan Antonio,3
CTT CARDEDEU EIG,EL CENTRE ''A'',C,11724,RODRIGUEZ Xavier,0,Y,651,CARBONELL Daniel,3
CTT CARDEDEU EIG,EL CENTRE ''A'',B,242,AZCON Joaquin,1,Z,292,CHACON Alejandro,3
ATT PREMIÀ DE MAR,TITUS BADALONA,A,707,GARCIA Xavier,2,Y,10639,CRESPO Pere,3
ATT PREMIÀ DE MAR,TITUS BADALONA,B,69,VILARO Joan Mª,0,X,6879,HURTADO Jose Alberto,3
ATT PREMIÀ DE MAR,TITUS BADALONA,C,887,COLLDEFORN Jaume,1,Z,635,MARTÍNEZ Antonio,3
ATT PREMIÀ DE MAR,TITUS BADALONA,A,707,GARCIA Xavier,3,X,6879,HURTADO Jose Alberto,0
ATT PREMIÀ DE MAR,TITUS BADALONA,C,887,COLLDEFORN Jaume,0,Y,10639,CRESPO Pere,3
ATT PREMIÀ DE MAR,TITUS BADALONA,B,69,VILARO Joan Mª,0,Z,635,MARTÍNEZ Antonio,3
EL CIERVO ''A'',CTT ELS AMICS DE TERRASSA,A,557,VILLORO Xavier,2,Y,856,MARTINEZ Ignasi,3
EL CIERVO ''A'',CTT ELS AMICS DE TERRASSA,B,7559,GUASCH Josep,0,X,734,GIBERT Francesc,3
EL CIERVO ''A'',CTT ELS AMICS DE TERRASSA,C,199,CASTELLS Francesc,1,Z,692,CAMPOS Oscar,3
EL CIERVO ''A'',CTT ELS AMICS DE TERRASSA,A,557,VILLORO Xavier,0,X,734,GIBERT Francesc,3
EL CIERVO ''A'',CTT ELS AMICS DE TERRASSA,C,199,CASTELLS Francesc,1,Y,856,MARTINEZ Ignasi,3
EL CIERVO ''A'',CTT ELS AMICS DE TERRASSA,B,7559,GUASCH Josep,0,Z,692,CAMPOS Oscar,3
