abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
BELLVITGE ALHEÑA,AGRUPACIÓ CONGRÉS,A,13183,AMIGO Juan Carlos,0,Y,13081,GOMEZ David,3
BELLVITGE ALHEÑA,AGRUPACIÓ CONGRÉS,B,15138,FERRER David,0,X,13077,ESCORZA Javier,3
BELLVITGE ALHEÑA,AGRUPACIÓ CONGRÉS,C,15139,TERMENS Oriol,0,Z,6190,SANCHEZ Jose Miguel,3
BELLVITGE ALHEÑA,AGRUPACIÓ CONGRÉS,A,13183,AMIGO Juan Carlos,1,X,13077,ESCORZA Javier,3
BELLVITGE ALHEÑA,AGRUPACIÓ CONGRÉS,C,15139,TERMENS Oriol,2,Y,13081,GOMEZ David,3
BELLVITGE ALHEÑA,AGRUPACIÓ CONGRÉS,B,15138,FERRER David,1,Z,6190,SANCHEZ Jose Miguel,3
CLUB NATACIO SABADELL,BADAGRES BADALONA,A,14387,RECHE Alex,1,Y,14077,NÚÑEZ Pol,3
CLUB NATACIO SABADELL,BADAGRES BADALONA,B,12136,PLAZA Pau,3,X,11717,BOLDÚ Sebastià,1
CLUB NATACIO SABADELL,BADAGRES BADALONA,C,13132,LLOS Berta,0,Z,8128,PINEDA Jordi,3
CLUB NATACIO SABADELL,BADAGRES BADALONA,A,14387,RECHE Alex,2,X,11717,BOLDÚ Sebastià,3
CLUB NATACIO SABADELL,BADAGRES BADALONA,C,13132,LLOS Berta,0,Y,14077,NÚÑEZ Pol,3
CLUB NATACIO SABADELL,BADAGRES BADALONA,B,12136,PLAZA Pau,0,Z,8128,PINEDA Jordi,3
CLUB ARIEL,CTT SALLENT,A,14979,RUIZ Jordi,3,Y,14593,HARO Josep,0
CLUB ARIEL,CTT SALLENT,B,10059,SIBEAUX Florent,3,X,1773,CASAMITJANA Leandro,0
CLUB ARIEL,CTT SALLENT,C,14984,GONZALEZ Francisco,3,Z,16393,CIURO Ramon,1
CLUB ARIEL,CTT SALLENT,A,14979,RUIZ Jordi,3,X,1773,CASAMITJANA Leandro,2
CLUB ARIEL,CTT SALLENT,C,14984,GONZALEZ Francisco,0,Y,14593,HARO Josep,3
CLUB ARIEL,CTT SALLENT,B,10059,SIBEAUX Florent,3,Z,16393,CIURO Ramon,0
CTT LA UNIÓ,CTT VILASSAR DE MAR L'OBRERA,A,8899,VILALTA Albert,0,Y,15977,LAURI Vili,3
CTT LA UNIÓ,CTT VILASSAR DE MAR L'OBRERA,B,7854,VILALTA Jaime,2,X,2925,SOLANO Antonio,3
CTT LA UNIÓ,CTT VILASSAR DE MAR L'OBRERA,C,13813,MIRAS Pedro,0,Z,16462,KOKKO Essa,3
CTT LA UNIÓ,CTT VILASSAR DE MAR L'OBRERA,A,8899,VILALTA Albert,0,X,2925,SOLANO Antonio,3
CTT LA UNIÓ,CTT VILASSAR DE MAR L'OBRERA,C,13813,MIRAS Pedro,0,Y,15977,LAURI Vili,3
CTT LA UNIÓ,CTT VILASSAR DE MAR L'OBRERA,B,7854,VILALTA Jaime,3,Z,16462,KOKKO Essa,0
EL CENTRE,TARINAS CALELLA,A,1080,ALCAÑIZ Bernat,3,Y,14062,FERNÁNDEZ Marc,0
EL CENTRE,TARINAS CALELLA,B,5607,GUAL Carles,3,X,6764,FONT Laia,1
EL CENTRE,TARINAS CALELLA,C,5430,OLIVES Miguel Anton,3,Z,13293,LOPEZ Josep Maria,1
EL CENTRE,TARINAS CALELLA,A,1080,ALCAÑIZ Bernat,3,X,6764,FONT Laia,0
EL CENTRE,TARINAS CALELLA,C,5430,OLIVES Miguel Anton,3,Y,14062,FERNÁNDEZ Marc,0
EL CENTRE,TARINAS CALELLA,B,5607,GUAL Carles,3,Z,13293,LOPEZ Josep Maria,1
"JUMA CTT RIPOLLET ""B""",CTT OLESA,A,11780,LLORENS Vicente,3,Y,14360,JIMENEZ Daniel,1
"JUMA CTT RIPOLLET ""B""",CTT OLESA,C,11059,BLESA Pau,0,Z,14259,BLANCO Alonso,3
"JUMA CTT RIPOLLET ""B""",CTT OLESA,A,11780,LLORENS Vicente,3,X,142,PLAYÀ Josep Mª,2
"JUMA CTT RIPOLLET ""B""",CTT OLESA,C,11059,BLESA Pau,3,Y,14360,JIMENEZ Daniel,2
