abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
LLUÏSOS DE GRÀCIA,CTT VILAFRANCA,A,15072,FERREIRO Ricardo,3,Y,12114,MASSARD Franck,0
LLUÏSOS DE GRÀCIA,CTT VILAFRANCA,B,5171,RAMOS Carlos,0,X,241,MARTINEZ Josep,3
LLUÏSOS DE GRÀCIA,CTT VILAFRANCA,C,417,KRAWCZYK Guido,2,Z,302,ESCUDERO Josep Maria,3
LLUÏSOS DE GRÀCIA,CTT VILAFRANCA,A,15072,FERREIRO Ricardo,0,X,241,MARTINEZ Josep,3
LLUÏSOS DE GRÀCIA,CTT VILAFRANCA,C,417,KRAWCZYK Guido,1,Y,12114,MASSARD Franck,3
LLUÏSOS DE GRÀCIA,CTT VILAFRANCA,B,5171,RAMOS Carlos,3,Z,6129,ALCALA Olegario Basilio,0
EL CIERVO ''A'',CTT DELS HORTS 2000,A,267,INFANTE Isidro,1,Y,227,CREIXELL Josep,3
EL CIERVO ''A'',CTT DELS HORTS 2000,B,5522,GUINOVART Antonio,0,X,4016,OLAYA Joaquin,3
EL CIERVO ''A'',CTT DELS HORTS 2000,C,194,AGEA Rafael,1,Z,196,GUZMÁN Josep Maria,3
EL CIERVO ''A'',CTT DELS HORTS 2000,A,267,INFANTE Isidro,0,X,4016,OLAYA Joaquin,3
EL CIERVO ''A'',CTT DELS HORTS 2000,C,194,AGEA Rafael,2,Y,227,CREIXELL Josep,3
EL CIERVO ''A'',CTT DELS HORTS 2000,B,5522,GUINOVART Antonio,3,Z,196,GUZMÁN Josep Maria,1
TT PARETS,SURIS CALELLA,A,7388,FERNANDEZ Carlos,0,Y,12195,SAÑA Orlando,3
TT PARETS,SURIS CALELLA,B,809,RIVERA Jordi,3,X,150,FONT Jordi,2
TT PARETS,SURIS CALELLA,C,3468,MOMPART Jordi,0,Z,1000,PUIG Aitor,3
TT PARETS,SURIS CALELLA,A,7388,FERNANDEZ Carlos,0,X,150,FONT Jordi,3
TT PARETS,SURIS CALELLA,C,3468,MOMPART Jordi,0,Y,12195,SAÑA Orlando,3
TT PARETS,SURIS CALELLA,B,809,RIVERA Jordi,0,Z,1000,PUIG Aitor,3
CTT OLESA,EL CERCLE TT GRÀCIA,A,234,PUBILL Jaume,0,Y,361,CASANOVA Santiago,3
CTT OLESA,EL CERCLE TT GRÀCIA,B,308,GARCIA Benito,0,X,329,CASABONA Oscar,3
CTT OLESA,EL CERCLE TT GRÀCIA,C,631,RUIZ Cristobal,2,Z,369,MORATA Genis,3
CTT OLESA,EL CERCLE TT GRÀCIA,A,234,PUBILL Jaume,1,X,329,CASABONA Oscar,3
CTT OLESA,EL CERCLE TT GRÀCIA,C,631,RUIZ Cristobal,1,Y,361,CASANOVA Santiago,3
CTT OLESA,EL CERCLE TT GRÀCIA,B,308,GARCIA Benito,3,Z,369,MORATA Genis,1
