abc_team,xyz_team,abc_player_letter,abc_player_license,abc_player_name,abc_player_score,xyz_player_letter,xyz_player_license,xyz_player_name,xyz_player_score
"EL CERCLE TT GRÀCIA ""B""",CTT VILASSAR ''A'',A,8337,BLANCO Alfons,2,Y,17706,POVEDA Francisco Javier,3
"EL CERCLE TT GRÀCIA ""B""",CTT VILASSAR ''A'',B,7132,GRACIA Rafael,1,X,5651,HIGUERAS Manuel,3
"EL CERCLE TT GRÀCIA ""B""",CTT VILASSAR ''A'',C,6880,COLET Albert,0,Z,19316,GUANTER Josep Maria,3
"EL CERCLE TT GRÀCIA ""B""",CTT VILASSAR ''A'',A,8337,BLANCO Alfons,2,X,5651,HIGUERAS Manuel,3
"EL CERCLE TT GRÀCIA ""B""",CTT VILASSAR ''A'',C,6880,COLET Albert,2,Y,17706,POVEDA Francisco Javier,3
"EL CERCLE TT GRÀCIA ""B""",CTT VILASSAR ''A'',B,7132,GRACIA Rafael,3,Z,19316,GUANTER Josep Maria,1
MOLLET 2002 TT,CTT ELS AMICS DE TERRASSA,A,6961,MUÑOZ Jose,0,Y,13340,SERRES Ramon,3
MOLLET 2002 TT,CTT ELS AMICS DE TERRASSA,B,5427,BERNAL Martin,1,X,16410,SAPES Esteve,3
MOLLET 2002 TT,CTT ELS AMICS DE TERRASSA,C,36,POU Joan,3,Z,18964,MUNTAL Enric,0
MOLLET 2002 TT,CTT ELS AMICS DE TERRASSA,A,6961,MUÑOZ Jose,0,X,16410,SAPES Esteve,3
MOLLET 2002 TT,CTT ELS AMICS DE TERRASSA,C,36,POU Joan,2,Y,13340,SERRES Ramon,3
MOLLET 2002 TT,CTT ELS AMICS DE TERRASSA,B,5427,BERNAL Martin,3,Z,18964,MUNTAL Enric,0
EL CIERVO,CTT LA UNIÓ,A,11221,MORGUI Josep Maria,3,Y,14990,ACERO Gregorio,0
EL CIERVO,CTT LA UNIÓ,B,12801,CAMPS Jordi,3,X,8899,VILALTA Albert,0
EL CIERVO,CTT LA UNIÓ,C,11220,BOSCH Joan,0,Z,7854,VILALTA Jaime,3
EL CIERVO,CTT LA UNIÓ,A,11221,MORGUI Josep Maria,3,X,8899,VILALTA Albert,0
EL CIERVO,CTT LA UNIÓ,C,11220,BOSCH Joan,3,Y,14990,ACERO Gregorio,1
EL CIERVO,CTT LA UNIÓ,B,12801,CAMPS Jordi,1,Z,7854,VILALTA Jaime,3
CTT ATENEU 1882 ''B'',CTT GRANOLLERS,A,13217,MARTINEZ Francisco,3,Y,19080,HIERRO Damian Manuel,0
CTT ATENEU 1882 ''B'',CTT GRANOLLERS,B,18896,PINZANO Antoni,3,X,14119,SELVA Eduard,1
CTT ATENEU 1882 ''B'',CTT GRANOLLERS,C,1725,BONAVILA Alejandro,3,Z,18636,IBAÑEZ Miguel Ángel,0
CTT ATENEU 1882 ''B'',CTT GRANOLLERS,A,13217,MARTINEZ Francisco,3,X,14119,SELVA Eduard,0
CTT ATENEU 1882 ''B'',CTT GRANOLLERS,C,1725,BONAVILA Alejandro,3,Y,19080,HIERRO Damian Manuel,0
CTT ATENEU 1882 ''B'',CTT GRANOLLERS,B,18896,PINZANO Antoni,3,Z,18636,IBAÑEZ Miguel Ángel,0
